"Data","Estrangeiro","Institucional","Pessoa física","Inst. Financeira","Outros"
"20/08/2026","-1.195,31 mi","1.372,68 mi","158,70 mi","-527,97 mi","191,90 mi"
"19/08/2026","-1.582,35 mi","1.029,81 mi","42,36 mi","519,49 mi","-9,31 mi"
"18/08/2026","-1.782,10 mi","1.362,50 mi","357,75 mi","-9,69 mi","71,54 mi"
"17/08/2026","-496,07 mi","71,25 mi","154,80 mi","181,58 mi","88,44 mi"
"14/08/2026","-2.515,44 mi","1.718,14 mi","297,95 mi","310,31 mi","189,04 mi"
"13/08/2026","-2.070,86 mi","1.687,61 mi","103,30 mi","234,69 mi","45,26 mi"
"12/08/2026","-1.631,62 mi","1.211,41 mi","266,37 mi","164,05 mi","-10,21 mi"
"11/08/2026","-4.717,24 mi","3.626,29 mi","560,65 mi","380,04 mi","150,26 mi"
"10/08/2026","-1.655,74 mi","1.768,64 mi","85,41 mi","-89,30 mi","-109,01 mi"
"07/08/2026","-2.261,38 mi","2.272,08 mi","655,40 mi","-849,01 mi","182,91 mi"
"06/08/2026","-2.460,16 mi","562,43 mi","515,92 mi","1.264,07 mi","117,75 mi"
"05/08/2026","-714,76 mi","-1.722,60 mi","-418,76 mi","197,80 mi","2.658,31 mi"
"04/08/2026","-171,05 mi","-11,06 mi","-50,96 mi","214,70 mi","18,37 mi"
"03/08/2026","51,35 mi","-206,71 mi","-26,07 mi","118,20 mi","63,23 mi"
"31/07/2026","431,69 mi","-15,94 mi","-278,88 mi","-70,29 mi","-66,59 mi"
"30/07/2026","-634,54 mi","1.327,25 mi","-419,39 mi","-19,82 mi","-253,50 mi"
"29/07/2026","-510,21 mi","39,32 mi","410,44 mi","190,07 mi","-129,62 mi"
"28/07/2026","415,21 mi","-404,60 mi","-53,89 mi","175,88 mi","-132,61 mi"
"27/07/2026","454,77 mi","129,51 mi","-471,97 mi","16,53 mi","-128,84 mi"
"24/07/2026","-1.232,77 mi","674,09 mi","381,23 mi","184,97 mi","-7,51 mi"
"23/07/2026","-979,77 mi","579,59 mi","267,14 mi","234,09 mi","-101,05 mi"
"22/07/2026","278,08 mi","136,85 mi","-331,13 mi","144,21 mi","-228,02 mi"
"21/07/2026","120,05 mi","-315,16 mi","148,75 mi","226,57 mi","-180,20 mi"
"20/07/2026","-497,44 mi","281,44 mi","170,34 mi","115,99 mi","-70,32 mi"
"17/07/2026","2.362,18 mi","-3.413,81 mi","167,93 mi","1.108,60 mi","-224,90 mi"
"16/07/2026","58,22 mi","-316,80 mi","226,53 mi","-23,70 mi","55,75 mi"
"15/07/2026","703,44 mi","-625,12 mi","295,24 mi","-435,29 mi","61,73 mi"
"14/07/2026","458,78 mi","-600,51 mi","100,24 mi","-115,50 mi","156,99 mi"
"13/07/2026","-177,50 mi","-324,88 mi","370,65 mi","154,85 mi","-23,11 mi"
"10/07/2026","1.521,47 mi","-840,80 mi","-640,97 mi","-28,78 mi","-10,92 mi"
"09/07/2026","206,37 mi","-281,50 mi","-247,88 mi","286,84 mi","36,16 mi"
"08/07/2026","-607,62 mi","172,41 mi","220,43 mi","67,01 mi","147,78 mi"
"07/07/2026","12,18 mi","-577,10 mi","302,52 mi","177,85 mi","84,54 mi"
"06/07/2026","-500,32 mi","-391,87 mi","464,66 mi","325,30 mi","102,22 mi"
"03/07/2026","698,14 mi","-679,63 mi","-213,17 mi","204,76 mi","-10,11 mi"
"02/07/2026","567,60 mi","-119,22 mi","76,91 mi","-602,61 mi","77,32 mi"
"01/07/2026","-589,82 mi","199,04 mi","186,67 mi","119,97 mi","84,14 mi"
"30/06/2026","302,09 mi","-850,97 mi","319,29 mi","164,01 mi","65,58 mi"
"29/06/2026","666,52 mi","-766,99 mi","8,00 mi","53,26 mi","39,20 mi"
"26/06/2026","34,74 mi","408,31 mi","-99,32 mi","-339,66 mi","-4,08 mi"
"25/06/2026","-410,78 mi","237,21 mi","-69,96 mi","221,09 mi","22,45 mi"
"24/06/2026","-855,52 mi","339,69 mi","262,37 mi","143,08 mi","110,37 mi"
"23/06/2026","-1.063,33 mi","786,35 mi","138,12 mi","23,94 mi","114,94 mi"
"22/06/2026","-2.086,22 mi","1.520,58 mi","19,24 mi","457,54 mi","88,86 mi"
"19/06/2026","-1,72 mi","-2.732,83 mi","556,47 mi","2.000,92 mi","177,15 mi"
"18/06/2026","80,77 mi","-372,11 mi","76,98 mi","-37,06 mi","251,42 mi"
"17/06/2026","72,76 mi","-171,99 mi","254,03 mi","-319,56 mi","164,76 mi"
"16/06/2026","-1.204,05 mi","1.220,73 mi","362,56 mi","-679,33 mi","300,08 mi"
"15/06/2026","998,28 mi","-673,96 mi","-508,27 mi","44,74 mi","139,21 mi"
